N,Versao,T,mean,std,tempo_seq,speedup
100000,v1 (Sequencial),1,0.47640000000000005,0.01156719499273699,0.47640000000000005,1.0
100000,v2 (SIMD),1,0.5538,0.06048718872620883,0.47640000000000005,0.8602383531960999
100000,v3 (OMP+SIMD),1,0.8648,0.30813584666507077,0.47640000000000005,0.5508788159111934
100000,v3 (OMP+SIMD),2,3.3388,2.470249521809487,0.47640000000000005,0.14268599496825207
100000,v3 (OMP+SIMD),4,1.2108,1.4965833421497112,0.47640000000000005,0.39345887016848363
100000,v3 (OMP+SIMD),8,3.1866,2.1585968359098464,0.47640000000000005,0.14950103558651856
100000,v3 (OMP+SIMD),16,2.202,0.7428546291166261,0.47640000000000005,0.21634877384196188
500000,v1 (Sequencial),1,3.0656000000000003,0.3861745719231135,3.0656000000000003,1.0
500000,v2 (SIMD),1,3.2632,0.48221851893099255,3.0656000000000003,0.9394459426329984
500000,v3 (OMP+SIMD),1,4.4772,0.6265442522280448,3.0656000000000003,0.6847136603234165
500000,v3 (OMP+SIMD),2,4.4234,4.354813004022102,3.0656000000000003,0.6930415517475246
500000,v3 (OMP+SIMD),4,2.2992,1.5063162682517905,3.0656000000000003,1.3333333333333335
500000,v3 (OMP+SIMD),8,2.3558,3.6039523026810443,3.0656000000000003,1.301298921810001
500000,v3 (OMP+SIMD),16,5.4886,0.8597748542496462,3.0656000000000003,0.5585395182742412
1000000,v1 (Sequencial),1,7.6872,4.8304289354052194,7.6872,1.0
1000000,v2 (SIMD),1,9.3318,5.75606434119703,7.6872,0.8237639040699544
1000000,v3 (OMP+SIMD),1,9.0478,2.689929311338869,7.6872,0.8496209023187956
1000000,v3 (OMP+SIMD),2,7.938399999999999,2.481728591123533,7.6872,0.9683563438476268
1000000,v3 (OMP+SIMD),4,3.9314,1.65201946114445,7.6872,1.9553339777178613
1000000,v3 (OMP+SIMD),8,3.778,3.1914121482503637,7.6872,2.034727368978295
1000000,v3 (OMP+SIMD),16,6.854400000000001,2.537105003739499,7.6872,1.1214985994397757
