N,execucao,tempo
100000,1,0.000156
100000,2,0.000157
100000,3,0.000157
100000,4,0.000157
100000,5,0.000154
500000,1,0.000786
500000,2,0.000780
500000,3,0.000787
500000,4,0.000794
500000,5,0.000837
1000000,1,0.001568
1000000,2,0.001598
1000000,3,0.001582
1000000,4,0.001589
1000000,5,0.001571
