N,execucao,tempo
100000,1,0.000181
100000,2,0.000174
100000,3,0.000173
100000,4,0.000167
100000,5,0.000172
500000,1,0.000875
500000,2,0.000928
500000,3,0.000868
500000,4,0.000886
500000,5,0.000906
1000000,1,0.002073
1000000,2,0.001761
1000000,3,0.001755
1000000,4,0.001736
1000000,5,0.001752
